"id","code","name"
"1",460522,"Fiocchi di riso"
"2",48,"Acqua alla mandorla"
"3",9788,"Baccala in olio extravergine d’oliva"
"4",114,"Crackers ai cereali antichi"
"5",12741,"Lardo di Colonnata IGP"
"6",215,"Riso rosso"
"7",314,"Tisana"
"8",666,"Biscuits avoine choco"
"9",710,"Salatini ai carciofi"
"10",80007838,"Acqua oligominerale San benedetto frizzante"
"11",9052207,"Giotto Colomba artigianale"
"12",12874264,"Mousse al Cioccolato"
"13",140636220,"Aktiv Flakes"
"14",1496,"Coteletta vegetale"
"15",16547676,"Polpettine"
"16",1670,"Sliced Yellow Cling Peaches in Peach and Pear juice"
"17",1915,"Barretta proteica"
"18",210021101900300,"Salmone Affumicato"
"19",2127,"Nadalin"
"20",213952,"Decottopia estratto 21"
"21",221053748,"Brasato al vino rosso"
"22",2684,"Colomba all’Albicocca"
"23",269053397,"Vitello tonnato"
"24",269053656,"Cannelloni di crespelle speck e brie"
"25",269092754,"Gnocchetti alla romana"
"26",290153097,"Risto piatti fusilli alla Sorrentina senza glutine"
"27",3056,"TARALLI FINOCCHIO supermercati coop Cascione"
"28",3469,"Strolghino di prosciutto"
"29",35600288101121,"Burger di zucca con cicoria"
"30",35600309301120,"Burger"
"31",36200315061222,"Fish balla con riso selvaggio, carote e broccoli"
"32",4503,"Olive all ascolana al tartufo"
"33",45400077220422,"Pollo al curry con basmati e cipolle"
"34",45400281041121,"Pollo al curry con basmati e cipolla caramellata"
"35",4714,"piadina romagnola alla riminese all'olio extra vergine di oliva"
"36",502003509,"Krainer poco piccante"
"37",5315,"Grano e quinoa"
"38",56600256161021,"Gnocchi al pesto e cime di rapa"
"39",56900250101021,"Riso rosso speziato gamberi e verdure"
"40",56900341060123,"Riso selvaggio gamberetti speziati"
"41",57100077120422,"Spiedini di pesce e verdure gratinate"
"42",59,"Paleo Bar"
"43",600,"Crema di nocciola al Gianduia"
"44",6293,"Pane alla segale"
"45",679059439,"Arachidi Tostati salati"
"46",682335353,"Trippa al sugo"
"47",685877812,"Riccoriso"
"48",6941,"Passata tradizionale di pomodoro"
"49",729437217,"Chicken and Mayonnaise"
"50",7504,"Formaggio misto"
"51",777,"Pizza con mozzarella di bufala Campana DOP e pomodori"
"52",79314,"Pure sieres"
"53",79557,"Pure whey protein chocolate peanut"
"54",80600281011121,"Baccalà pil pil con caponatina"
"55",80800076140422,"Polpette pollo messicane e fagioli"
"56",83200322181221,"Veggie bowl al curry"
"57",84200272011121,"Risotto speck e mele"
"58",85045,"Beef protein isolate"
"59",89000253061021,"Tangine di pollo al miele"
"60",89500315061222,"Wok di pollo con anacardi"
"61",91403,"Egg white power"
"62",92100085200421,"Spezzatino ai frutti rossi con piselli e patate"
"63",92100256081021,"Spezzatino di carne ai frutti rossi con piselli e patate"
"64",92500315061222,"Rollé di pollo ai pistacchi con asparagi e cime di rapa"
"65",939000408,"Pineans day"
"66",95000293191122,"Tajine Vegetariana"
"67",99800340050123,"Gnocchi mazzancolle e radicchio"
"68",99833,"Proteine in polvere All in one"
"69",1000001189,"Maisciocchi"
"70",1000001271,"Parpagnacchi al monococco"
"71",1000005415,"cioppini"
"72",1011002007,"Nutritional Shake Mix"
"73",101600007060222,"Spaghetti nero di seppia, zucca e mazzancolle"
"74",1017001004,"Nero buono"
"75",10245,"Formaggio grana"
"76",102500034200322,"Biscotri"
"77",102540,"High protein dessert"
"78",105233,"Proteine dietetiche"
"79",108318,"Vitamina c polvere"
"80",1086000007,"Colomba artigianale"
"81",110400144180623,"Rolle spinaci e fagiolini"
"82",111100299251122,"Mezzelune alla zucca, salvia e zenzero"
"83",112886,"Pure Series proteine"
"84",113474,"Proteine"
"85",114234,"Pure whey isolate, chocolate caramel"
"86",115879,"High protein dessert"
"87",1169091106,"Crespelle"
"88",120083,"PURE WHEY PROTEIN VANILLA"
"89",121618,"Gluten Free Ultra Fine Oats"
"90",123481,"Pure whey protein"
"91",123786,"Proteine Blulk Powders Tiramisù"
"92",123941,"Siero di latte isolato puro 90 cioccolato biscotti"
"93",125099,"Pure whey isolate"
"94",126942,"Mass gainer powder"
"95",127667,"AfterMath"
"96",127686,"Pure whey isolate"
"97",127904,"Avena Istantanea"
"98",127936,"Hydrolysed whey protein isolate"
"99",128019,"Bulk pure isolate"
"100",129583,"Pure whey protein"
"101",130092,"Chocolate protein bites"
"102",130984,"Pure why isolate"
"103",131167,"Pure whey protein"
"104",133345,"Pure whey protein"
"105",134048,"Bulk vegan"
"106",135160,"Avena istantanea Bulk"
"107",137381,"Organic coconut flour"
"108",140754,"Protein"
"109",141655,"Pankeke mix"
"110",143373,"organic raw cacao nibs"
"111",143474,"Protein dessert"
"112",144905,"Vegan protein"
"113",145537,"BULK gluten free ultra fine oats"
"114",146149,"Keto shake"
"115",146275,"Ultra fine oats"
"116",148379,"vegan protein powder"
"117",148564,"Vegan protein powder"
"118",151282,"Proteine in polvere"
"119",154866,"Ultra fine oats"
"120",155609,"ultra fine oat"
"121",155693,"Avena istantanea"
"122",157621,"Pure whey protein"
"123",157916,"Vegane protein powder"
"124",158118,"Pure whey Protein"
"125",158870,"Collagen e Vitamin C powder"
"126",160708,"Pure whey protein"
"127",162101,"Cutting edge"
"128",163451506,"Mix cacao protein brown"
"129",164908,"Bulk Whey Protein"
"130",165476,"Maltodestrina"
"131",166522,"Bulk"
"132",167102,"Protein pancake mix"
"133",167402,"Pure whey protein"
"134",167779,"Brownie mix cacao protein"
"135",168103,"Ultra fine oats"
"136",168165,"Natural pure whey protein"
"137",168255,"Proteine"
"138",168275,"Protein pancake mix"
"139",169243,"Elevate pre workout"
"140",171156,"Pure whey protein"
"141",172327,"Matcha green tea powder"
"142",173865,"Sunflower seeds"
"143",173882,"Protein pancake mix"
"144",174190503,"Topping al cioccolato"
"145",177059,"Proteine in polvere"
"146",177615,"complete pre-workout"
"147",178182,"Bulk ultra fine oats"
"148",179383,"Ultra fine oats"
"149",179801,"Protein pancake mix"
"150",181471,"Pure whey protein"
"151",184105,"Collagen & vitamin C powder"
"152",184466,"Pure whey protein"
"153",186240,"Pure whey protein"
"154",190319,"Integratore proteico"
"155",190969,"Diet Whey Protein"
"156",192002,"Pure whey protein"
"157",193832,"pure whey protein"
"158",194692,"Proteine in polvere"
"159",195544,"Vegan protein powder"
"160",197588,"Creatina"
"161",199165,"Vegan protein"
"162",200466,"pure whey protein"
"163",200529,"Pure whey protein"
"164",200534,"Pure whey protein"
"165",201480,"Bulk proteine"
"166",202545,"Vegan protein"
"167",203073,"Vegan protein powder"
"168",212662,"Pre-workout advanced"
"169",2211092508,"nodini"
"170",23689,"Gocce fondente extra"
"171",2399220601,"Alta crema nocciola"
"172",2420258627,"Petto di pollo"
"173",26,"Elisir reale"
"174",28608,"COCOA RICE"
"175",3024006157,"Fettina per involtini"
"176",31004,"Gel all'acido silicico"
"177",31370,"Gel acido silicico"
"178",3469156561,"Patate"
"179",398,"Patè di Melanzane"
"180",409,"Ingwer Wurzel"
"181",410010315,"Salame Filzetta Pernigorri"
"182",41511,"Lasagne de boeuf"
"183",420,"Tramezzino"
"184",466,"Wellness Noci sgusciate"
"185",5750153693,"Fortunelli dark"
"186",576606001,"Latte uht"
"187",62242,"Oatflour"
"188",7172668618,"Edamer"
"189",75305,"Nocciole e cacao"
"190",80011295040018672,"Spaghetti"
"191",8034003356,"Biscottone"
"192",8044441032,"Burger vegetali Green cuisine"
"193",8050540118,"Citterio taglio fresco petto di pollo al forno"
"194",80537708015095520,"Robiola"
"195",8590010850,"Burger vegetali ai funghi"
"196",87105022100010112,"Veggy good"
"197",8996001667,"Lentils / Lenticchie"
"198",90001,"Caffe"
"199",9107231867,"Cacao caramello salato crema proteica"
"200",9674998,"vicks flu action"
"201",9800521289,"Kinder love"
"202",1000089,"Crema di Latte"
"203",1003015004,"Point Regale crema"
"204",1010031017,"ponti"
"205",1011001002,"Aloe Vera Defender"
"206",1011001003,"Succo e polpa Aloe Vera"
"207",1011001004,"Aloe Vera con Pina colada"
"208",1011001005,"Succo e polpa di Aloe vera"
"209",1011001006,"Aloe vera"
"210",1011002001,"Te drenante 50g"
"211",1011002004,"SHAKE MIX Vanille LYMPHAVIT"
"212",1011002005,"Sostitutivo pasto"
"213",1011002006,"Shake gusto crema e biscotto"
"214",1011002009,"Garcivit"
"215",1011002010,"A Proteinvit"
"216",1011002011,"Fibravit"
"217",1011012001,"Bevanda depurativa"
"218",1011013002,"Immunovit"
"219",1015001001,"Amaretti morbidi mandorla e pistacchio"
"220",1015002001,"Kontrovoglia farcito albicocca"
"221",1015003001,"Cantucci alla mandorla"
"222",1015005002,"Crema spalmabile al pistacchio"
"223",10202101696,"salame piccante"
"224",10253493528,"Uova a Terra n15"
"225",103937,"mais dolce cotto a vapore"
"226",1040418345,"Il biscotto dei bambini"
"227",10447183952,"biodramina"
"228",104,"Passione fruit"
"229",105446,"Salsa di pomodoro datterino"
"230",105743,"Spaghetti Martelli"
"231",105945,"Frollini con riso e latte"
"232",10620200162,"Aloo Puri"
"233",10620200179,"Vegetable Singara"
"234",110563,"Cappuccino solubile"
"235",11110014429,"Traditional medium salsa"
"236",11110085757,"Baked pea puffs"
"237",11110085771,"Baked pea puffs cheezy"
"238",111,"Vegan plus"
"239",1120790927,"Coop fusilli 64"
"240",11359650815,"Black Beans whole"
"241",113809,"Passito"
"242",11402176,"aspi gola"
"243",13000535014,"BBQ Sauce"
"244",1317838,"Lardo di colonnata"
"245",13409516706,"Honey barbecue sauce"
"246",13600000721,"Zucchero"
"247",13600000738,"Truvía il dolcificante dalla foglia di stevia"
"248",13800188311,"Baked white mac & cheese"
"249",139805,"farina poco raffinata per pizza"
"250",1407,"Cacao in polvere biologico"
"251",143,"Vegan mix - zuppa toscana"
"252",144889,"Cicciolato fondente"
"253",145,"MK Gold Bread Mix"
"254",15198662,"digerent polifarma"
"255",16229006549,"Bamboo shoot"
"256",16229907525,"Germogli di soia"
"257",16229912185,"Rice stick, noodle di riso thailandesi"
"258",16229912208,"Rice Paper"
"259",16229925246,"Coconut milk drink"
"260",16500530824,"Flintstone Gummies"
"261",172,"Aloe Pesca"
"262",17456258,"drospil"
"263",17800104777,"Olaokun"
"264",17869005770,"Aceto balsamico di Modena"
"265",1790442065,"Mila Yogurt da bere Fragola"
"266",180100001223906624,"Salame cotto"
"267",18084922002,"Noccioleinter"
"268",1932,"Electrolyte Complex"
"269",194143,"Vegan affettato"
"270",219,"Cordy-C"
"271",22107031411,"Cocco & Pistacchi"
"272",22107231866,"Crema cacao e nocciole"
"273",22172004433,"Riso ribe paraboiled"
"274",222365,"Crema alle nocciole"
"275",22392573405,"Sauteed shrimp paste"
"276",224,"Plus crema biscotto"
"277",225,"Plus crema e biscotto"
"278",227377,"Deliciously Free Form"
"279",230,"Greens"
"280",23290610216,"Pan pistacchio"
"281",2330001322,"Triangolo senza glutine mais equilibrio Esselunga"
"282",24000000099,"La Classica Passata Finissima"
"283",24000009917,"La Rustica"
"284",24000074342,"Fagioli rossi"
"285",24000101062,"Succo pompelmo"
"286",24000101185,"basilico"
"287",24000101192,"Arrabiata"
"288",24000101536,"Fagioli borlotti lessati"
"289",24000101543,"Fagioli Bianchi di Spagna"
"290",24000101642,"Piselli"
"291",24000101727,"Arancia nettare"
"292",24000101734,"peach-pêche"
"293",24000103363,"Succo di lime"
"294",24000103400,"Succo di limone"
"295",24000103424,"Succo di limone"
"296",24000103554,"Ace rosso"
"297",24000104308,"mix di 3 frutti in succo"
"298",24000104636,"Succo mirtillo bio"
"299",24000104988,"Maionese"
"300",24000105015,"Ketchup"
"301",24000106784,"Succo ananas bergamotto aloe vera"
"302",24000106791,"Succo"
"303",24000106807,"Limone Mela Zenzero"
"304",24000106845,"Frutti rossi ibisco"
"305",24000106852,"lemon apple ginger"
"306",24000106869,"Lenin Apple Ginger"
"307",24000107118,"Mezze pere"
"308",24000109211,"Fagioli Borlotti"
"309",24000109228,"Ceci pronti"
"310",24000109235,"Cannellini"
"311",24000109242,"Lenticchie pronti l"
"312",24000110217,"Pineapple Crush (juice)"
"313",24000146094,"Tuttapolpa"
"314",24000150817,"Fruit cocktail"
"315",24000155454,"Passa finissima"
"316",24000160113,"Pezzi di ananas con sciroppo aromatizzato al limone "
"317",24000160304,"Mais dolce in grani"
"318",24000160373,"Fagioli borlotti lessati"
"319",24000160380,"Fagioli bianchi di Spagna"
"320",24000160397,"Ceci"
"321",24000160403,"Piselli medi"
"322",24000160656,"Ananas a fette"
"323",24000160847,"Ragù con Salsiccia"
"324",24000180883,"Arancia"
"325",24000180890,"arancia rossa"
"326",24000180906,"Succo ace"
"327",24000180920,"Ananas"
"328",24000181026,"Arancia rossa"
"329",24000181033,"Succo pompelmo"
"330",24000181064,"Mirtillo"
"331",24000181095,"Succo di frutta alla pera"
"332",24000181804,"Ceci Lessati"
"333",24000181842,"Fagioli cannellini"
"334",24000181903,"Lenticchie lessate"
"335",24000220541,"Polpafine"
"336",24000253945,"Organic valley diced tomatoes"
"337",24000306399,"Pomodori pelati"
"338",24094001613,"squared spaghetti 413"
"339",254250,"yoga optimum pera"
"340",270304,"Mini cotolette di pollo alla milanese"
"341",27377666,"gaviston"
"342",273,"Pasta Proteica"
"343",274,"Protine"
"344",279,"Choco break"
"345",28178207038,"Carote"
"346",28190009627,"Big Chheez Ultimate Cheddar"
"347",28400025393,"Kettle cooked"
"348",28400097109,"Potato kettle cooked"
"349",28400659796,"Blue corn"
"350",291187,"Haribo Cono gelato"
"351",306,"Crockis"
"352",310,"Olivox"
"353",31122231652,"Nama crema di mandorle siciliane"
"354",31122232383,"Crema al pistacchio"
"355",3170052178,"Tonno all'olio di oliva Conad"
"356",3170410121,"dolce decoro"
"357",317506,"Wurstel Meraner"
"358",31784004274,"Biscotti tradizionali danesi"
"359",31851007016,"popping topping"
"360",319461,"Perfetto Moka"
"361",31961054177,"Fully Cooked Old Fashioned FrankFurters"
"362",327480,"Pathos"
"363",32894020505,"Foul Medamas (Fava)"
"364",33053257428,"Carne di bovino"
"365",331,"Start- sport eleven"
"366",33255082606,"Confettura extra Papaya"
"367",33255243816,"Sfoglia classica"
"368",33674102954,"probiotics"
"369",382403,"Chocolate Cornflake Clusters"
"370",399999,"Cetriolini"
"371",400039,"Gran cru di cioccolato al latte"
"372",400060,"Cioccolato"
"373",400091,"Cioccolato fondente al sale rosa dell'Himalaya"
"374",4015008001,"Verso natura bio"
"375",40155021420,"Rigatini"
"376",401746,"Chill lemon"
"377",40450024133,"Saikebon Yakisoba Pollo"
"378",4094030380355152,"Tonno all'olio d'oliva"
